Segmentname_old,Unnamed: 0_old,Segmentgruppe_old,Segment_old,Datenelement_old,Segment ID_old,Code_old,Qualifier_old,Beschreibung_old,Bedingungsausdruck_old,Bedingung_old,diff,Segmentname_new,Unnamed: 0_new,Segmentgruppe_new,Segment_new,Datenelement_new,Segment ID_new,Code_new,Qualifier_new,Beschreibung_new,Bedingungsausdruck_new,Bedingung_new
Schaltzeitdefinition,65,SG8,SEQ,,00052,,,,Muss,,,Schaltzeitdefinition,67,SG8,SEQ,,00055,,,,Muss,
Schaltzeitdefinition,66,SG8,SEQ,1229,00052,Z73,,Ausgerollte Schaltzeitdefinition,X,,,Schaltzeitdefinition,68,SG8,SEQ,1229,00055,Z73,,Ausgerollte Schaltzeitdefinition,X,
Schaltzeitänderungszeitpun kt,67,SG8,DTM,,00053,,,,Muss,,,Schaltzeitänderungszeitpun kt,69,SG8,DTM,,00056,,,,Muss,
Schaltzeitänderungszeitpun kt,68,SG8,DTM,2005,00053,Z44,,Schaltzeitänderungszeitp unkt,X,,,Schaltzeitänderungszeitpun kt,70,SG8,DTM,2005,00056,Z44,,Schaltzeitänderungszeitp unkt,X,
Schaltzeitänderungszeitpun kt,69,SG8,DTM,2380,00053,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X ([931] [31] ∧ [32] ∧ [33]) ⊻ (([964] ∧ [965] [34]) ∧ [507]),"[31] Wenn im DE2379 dieses Segments der Code 303 vorhanden
[32] Der Zeitpunkt in diesem DE muss ≥ dem Zeitpunkt aus dem DE2380 des Gültigkeitsbeginn der ausgerollten Definition (SG5 DTM+Z34) sein
[33] Der Zeitpunkt in diesem DE muss ≤ dem Zeitpunkt aus dem DE2380 des Gültigkeitsende der ausgerollten Definition (SG5 DTM+Z35) sein
[34] Wenn im DE2379 dieses Segments der Code 401 vorhanden
[507] Hinweis: Es ist die Zeit nach der deutschen gesetzlichen Zeit anzugeben
[931] Format: ZZZ = +00
[964] Format: HHMM ≥ 0000
[965] Format: HHMM ≤ 2359",,Schaltzeitänderungszeitpun kt,71,SG8,DTM,2380,00056,,,Datum oder Uhrzeit oder,X ([931] [31],
Schaltzeitänderungszeitpun kt,70,SG8,DTM,2379,00053,303,,CCYYMMDDHHMMZZZ,X [50] ∧ [528],,,Schaltzeitänderungszeitpun kt,72,SG8,DTM,2380,,"Zeitspanne, Wert",,,∧ [32] ∧ [33]) ⊻ (([964] ∧ [965] [34]) ∧ [507]),"[31] Wenn im DE2379 dieses Segments der Code 303 vorhanden
[32] Der Zeitpunkt in diesem DE muss ≥ dem Zeitpunkt aus dem DE2380 des Gültigkeitsbeginn der ausgerollten Definition (SG5 DTM+Z34) sein
[33] Der Zeitpunkt in diesem DE muss ≤ dem Zeitpunkt aus dem DE2380 des Gültigkeitsende der ausgerollten Definition (SG5 DTM+Z35) sein
[34] Wenn im DE2379 dieses Segments der Code 401 vorhanden
[507] Hinweis: Es ist die Zeit nach der deutschen gesetzlichen Zeit anzugeben
[931] Format: ZZZ = +00
[964] Format: HHMM ≥ 0000
[965] Format: HHMM ≤ 2359"
Schaltzeitänderungszeitpun kt,71,SG8,DTM,2379,,401,,HHMM,X [50] ∧ [527],"[50] In jedem DE2379 dieses DTM-Segments innerhalb eines IDE+24 (Vorgangs) muss der gleiche Code angegeben werden
[527] Hinweis: Dieser Code ist anzugeben, wenn es sich um eine einmalig zu übermittelnde Definition handelt
[528] Hinweis: Dieser Code ist anzugeben, wenn es sich um eine jährlich zu übermittelnde Definition handelt",,Schaltzeitänderungszeitpun kt,73,SG8,DTM,2379,00056,303,,CCYYMMDDHHMMZZZ,X [50] ∧ [528],
,,,,,,,,,,,NEW,Schaltzeitänderungszeitpun kt,74,SG8,DTM,2379,,401,,HHMM,X [50] ∧ [527],"[50] In jedem DE2379 dieses DTM-Segments innerhalb eines IDE+24 (Vorgangs) muss der gleiche Code angegeben werden
[527] Hinweis: Dieser Code ist anzugeben, wenn es sich um eine einmalig zu übermittelnde Definition handelt
[528] Hinweis: Dieser Code ist anzugeben, wenn es sich um eine jährlich zu übermittelnde Definition handelt"
Schalthandlung an der Lokation,72,SG9,,,,,,,Muss,,,Schalthandlung an der Lokation,75,SG9,,,,,,,Muss,
Schalthandlung an der Lokation,73,SG9,CCI,,00057,,,,Muss,,,Schalthandlung an der Lokation,76,SG9,CCI,,00060,,,,Muss,
Schalthandlung an der Lokation,74,SG9,CCI,7059,00057,Z58,,Schalthandlung,X,,,Schalthandlung an der Lokation,77,SG9,CCI,7059,00060,Z58,,Schalthandlung,X,
Schalthandlung an der Lokation,75,SG9,CCI,7037,00057,ZF4,,Leistung an der Lokation an,X,,,Schalthandlung an der Lokation,78,SG9,CCI,7037,00060,ZF4,,Leistung an der Lokation an,X,
Schalthandlung an der Lokation,76,SG9,CCI,7037,,ZF5,,Leistung an der Lokation aus,X,,,Schalthandlung an der Lokation,79,SG9,CCI,7037,,ZF5,,Leistung an der Lokation aus,X,
Nachrichten-Endesegment,77,,UNT,,00064,,,,Muss,,,Nachrichten-Endesegment,80,,UNT,,00067,,,,Muss,
Nachrichten-Endesegment,78,,UNT,0074,00064,,,Anzahl der Segmente in einer Nachricht,X,,,Nachrichten-Endesegment,81,,UNT,0074,00067,,,Anzahl der Segmente in einer Nachricht,X,
Nachrichten-Endesegment,79,,UNT,0062,00064,,,Nachrichten-Referenznummer,X,,,Nachrichten-Endesegment,82,,UNT,0062,00067,,,Nachrichten-Referenznummer,X,
